Source,Affiliation,Institution,Country,DOI,ORCID,gleif,grid,psi,wikidata,isni
CrossRef,"Key Laboratory of Environmental Medicine Engineering in Ministry of Education, Medical School, Southeast University, Nanjing, China","Key Laboratory of Environmental Medicine Engineering in Ministry of Education, Medical School, Southeast University",CN,10.1080/17435390.2017.1329954,,,,,,
CrossRef,"Universidade Federal de São Paulo,  Brasil",Universidade Federal de SA?£o Paulo,BR,10.1590/s1516-80342007000300009,,,,,,
CrossRef,"Department of Radiology, Our Lady of Mercy Hospital, The Catholic University of Korea.","Department of Radiology, Our Lady of Mercy Hospital, The Catholic University of Korea.",,10.3348/jkrs.2000.42.1.175,,,,,,
CrossRef,"Kaiser Permanente, Los Angeles, CA",Kaiser Permanente,US,10.1200/jco.2012.30.34_suppl.212,,,,,,
CrossRef,"Space Research Institute (SRI) of Iranian Space Agency (ISA), Iran, Islamic Republic of",Space Research Institute (SRI) of Iranian Space Agency (ISA),IR,10.5220/0005414500940098,,,,,,
CrossRef,"Futai Special Laboratory, Microbial Chemistry Research Center, Microbial Chemistry Research Foundation, and Core Research for Evolutional Science and Technology, Japan Science and Technology Agency","Futai Special Laboratory, Microbial Chemistry Research Center, Microbial Chemistry Research Foundation, and Core Research for Evolutional Science and Technology, Japan Science and Technology Agency",,10.2183/pjab.82.416,,,,,,
CrossRef,Vodafone-Omnitel Italia,Vodafone-Omnitel Italia,,10.4468/2002.1.06dainesi.zucchella,,,,,,
CrossRef,"Truman State University, 100 East Normal Street, Kirksville, MO 63501, USA",Truman State University,US,10.1155/2016/8062073,,,,,,
CrossRef,Kiel,Kiel,,10.1111/ddg.13045,,,,,,
CrossRef,Liver Unit; Hebrew University-Hadassah Medical Center; Jerusalem; Israel,Liver Unit; Hebrew University-Hadassah Medical Center;,IL,10.1111/1751-2980.12062,,,,,,
CrossRef,"The Macaulay Land Use Research Institute, Craigiebuckler, Aberdeen, AB9 2QJ, UK","The Macaulay Land Use Research Institute, Craigiebuckler",UK,10.1155/s1463924688000240,,,,,,
CrossRef,"The University of Utah, USA",The University of Utah,US,10.4018/978-1-4666-3604-0.ch010,,,,,,
CrossRef,"LaBS, Department of Structural Engineering, Politecnico di Milano, 20133 Milano, Italy","LaBS, Department of Structural Engineering",IT,10.1155/2012/797410,,,,,,
CrossRef,"Harvard University, USA",Harvard University,US,10.4018/978-1-4666-2809-0.ch007,,,,,,
CrossRef,"Departmento de Biologia & CESAM; University of Aveiro, Campus Universitário de Santiago; Aveiro Portugal",Departmento de Biologia & CESAM; University of Aveiro,PT,10.1002/9781119169147.ch27,,,,,,
CrossRef,"Department of Orthopaedic Surgery, Guri Hospital, Hanyang University College of Medicine, Korea.","Department of Orthopaedic Surgery, Guri Hospital, Hanyang University College of Medicine",KR,10.4184/jkss.2015.22.2.43,,,,,,
CrossRef,Instituto Rio-Grandense do Arroz,Instituto Rio-Grandense do Arroz,,10.1590/s1415-43662010000800004,,,,,,
CrossRef,"MARUM, Center for Marine Environmental Sciences, University of Bremen; D-28359, Bremen Germany","MARUM, Center for Marine Environmental Sciences, University of Bremen;",,10.1002/2016gc006286,,,,,,
CrossRef,Department of City and Regional Planning; Middle East Technical University; Ankara Turkey,Department of City and Regional Planning; Middle East Technical University;,TR,10.1111/anti.12042,,,,,,
CrossRef,"Professor, National Graduate Institute for Policy Studies President, Institute for Transport Policy Studies","Professor, National Graduate Institute for Policy Studies President, Institute for Transport Policy Studies",,10.5736/jares.22.1_38,,,,,,
CrossRef,Resident in Graduate Prosthodontics; New York Hospital; Queens; NY,Resident in Graduate Prosthodontics; New York Hospital;,US,10.1111/jopr.12019,,,,,,
CrossRef,"University Distinguished Service Professor, James Buchanan Brady Urological Institute, Johns Hopkins Medical Institutions","University Distinguished Service Professor, James Buchanan Brady Urological Institute, Johns Hopkins Medical Institutions",,10.5980/jpnjurol.102.64,,,,,,
CrossRef,Department of Mechanical Engineering; University of Massachusetts; Dartmouth Massachusetts USA,Department of Mechanical Engineering; University of Massachusetts; Dartmouth Massachusetts USA,US,10.1002/2014jc010211,,,,,,
CrossRef,"Department of Physics and Engineering Physics; University of Saskatchewan; Saskatoon, Saskatchewan Canada",Department of Physics and Engineering Physics; University of Saskatchewan; Saskatoon,CA,10.1029/2008ja013426,,,,,,
CrossRef,University of Stuttgart,University of Stuttgart,,10.1145/2857491.2857498,,,,,,
CrossRef,Université Nice-Sophia Antipolis; UMR Geoazur; Nice; France,UniversitA?© Nice-Sophia Antipolis; UMR Geoazur;,FR,10.1029/2011tc002875,,,,,,
CrossRef,"Instituto de Pesquisas Hidráulicas, Universidade Federal do Rio Grande do Sul, 90570-901 Porto Alegre, RS, Brazil","Instituto de Pesquisas HidrA?¡ulicas, Universidade Federal do Rio Grande do Sul",BR,10.1155/2012/384153,,,,,,
CrossRef,"Central Laboratories, Okayama University Medical School","Central Laboratories, Okayama University Medical School",,10.4044/joma1947.87.9-10_867,,,,,,
CrossRef,School of Medical Sciences; University of New South Wales; Sydney New South Wales Australia,School of Medical Sciences; University of New South Wales;,AU,10.1111/imj.12627,,,,,,
CrossRef,"Department of Aeronautical Engineering, Noorul Islam Centre for Higher Education, Noorul Islam University, Kanyakumari 629180, India","Department of Aeronautical Engineering, Noorul Islam Centre for Higher Education, Noorul Islam University",IN,10.5402/2012/630801,http://orcid.org/0000-0001-5797-2925,,,,,
CrossRef,Matis Ltd; Icelandic Food and Biotech R&D; Vinlandsleid 12 113 Reykjavík Iceland,Matis Ltd; Icelandic Food and Biotech R&D;,IS,10.1002/jsfa.7328,,,,,,
CrossRef,"Department of Virology, Institute for Tropical Medicine, Nagasaki University","Department of Virology, Institute for Tropical Medicine, Nagasaki University",,10.7601/mez.28.105,,,,,,
CrossRef,"Department of Dermato-Urology, Okayama University Medical School","Department of Dermato-Urology, Okayama University Medical School",,10.5980/jpnjurol1928.46.3_190,,,,,,
CrossRef,"The Children’s Hospital of Zhejiang University School of Medicine, Hangzhou, Zhejiang 310052, China",The Childrena?s Hospital of Zhejiang University School of Medicine,CN,10.1155/2016/3735452,,,,,,
CrossRef,"University of California at San Francisco, CASan Francisco General Hospital, San Francisco, CA","University of California at San Francisco, CASan Francisco General Hospital",US,10.1115/sbc2009-206774,,,,,,
CrossRef,Boston College; USA,Boston College;,US,10.1023/a:1014637112531,,,,,,
CrossRef,"Columbia University, New York, NY",Columbia University,US,10.1200/jco.2005.09.908,,,,,,
CrossRef,Department of Surgery; The University of Auckland; Auckland; New Zealand,Department of Surgery; The University of Auckland;,NZ,10.1002/alr.21117,,,,,,
CrossRef,"Physical Chemistry Laboratory of Mineral Materials and their Applications,  Tunisia",Physical Chemistry Laboratory of Mineral Materials and their Applications,TN,10.1590/s0366-69132012000100020,,,,,,
CrossRef,Department of Anthropology; Binghamton University; Binghamton NY USA,Department of Anthropology; Binghamton University;,US,10.1002/oa.2526,http://orcid.org/0000-0002-2403-7209,,,,,
CrossRef,State Key Laboratory of Cognitive Neuroscience and Learning; Beijing Normal University; Beijing China,State Key Laboratory of Cognitive Neuroscience and Learning; Beijing Normal University;,CN,10.1111/jgs.12552,,,,,,
CrossRef,"Zanjan Pharmaceutical Nanotechnology Research Center, Zanjan University of Medical Sciences Zanjan Iran","Zanjan Pharmaceutical Nanotechnology Research Center, Zanjan University of Medical Sciences Zanjan",IR,10.1080/2331205x.2015.1129790,,,,,,
CrossRef,"Federal University of Goiás,  Brazil",Federal University of GoiA?¡s,BR,10.1590/1809-43412016v13n1p132,,,,,,
CrossRef,School of Food and Biological Engineering; Jiangsu University; Zhenjiang China,School of Food and Biological Engineering; Jiangsu University;,CN,10.1002/arch.21388,,,,,,
CrossRef,"Fundação Oswaldo Cruz,  Brasil",FundaA?§A?£o Oswaldo Cruz,BR,10.1590/s0104-59702010000400006,,,,,,
CrossRef,College of Economics and Finance; Hanyang University,College of Economics and Finance; Hanyang University,,10.1111/ajfs.12097,,,,,,
CrossRef,Department of Otorhinolaryngology-Head and Neck Surgery; University of Texas Medical School at Houston; Houston TX,Department of Otorhinolaryngology-Head and Neck Surgery; University of Texas Medical School at Houston; Houston TX,US,10.1002/alr.21702,,,,,,
CrossRef,State Key Laboratory of Polymer Materials Engineering; Polymer Research Institute of Sichuan University; Chengdu 610065 China,State Key Laboratory of Polymer Materials Engineering; Polymer Research Institute of Sichuan University;,CN,10.1002/adv.21760,http://orcid.org/0000-0001-8295-2045,,,,,
CrossRef,"Department of Surgery, College of Medicine, Chung-Ang University, Seoul, Korea.","Department of Surgery, College of Medicine, Chung-Ang University",KR,10.5230/jkgca.2008.8.4.182,,,,,,
CrossRef,"Unidad de Investigación Médica en Farmacología, Hospital de Especialidades, Centro Médico Nacional Siglo XXI, 06725 Ciudad de México, Mexico","Unidad de InvestigaciA?3n MA?©dica en FarmacologA?­a, Hospital de Especialidades, Centro MA?©dico Nacional Siglo XXI",MX,10.1155/2016/8423192,,,,,,
CrossRef,Department of Chemistry; Biochemistry Division; Hacettepe University; 06800 Ankara Turkey,Department of Chemistry; Biochemistry Division; Hacettepe University;,TR,10.1002/adhm.201600098,,,,,,
CrossRef,"Department of Microbiology; Gifu University School of Medicine; Gifu, Gifu 500",Department of Microbiology; Gifu University School of Medicine; Gifu,,10.1111/j.1348-0421.1987.tb03063.x,,,,,,
CrossRef,"Univ. of California, Santa Barbara (United States)",Univ. of California,US,10.1117/12.2263411,,,,,,
CrossRef,"NamesforLife, LLC","NamesforLife, LLC",,10.1601/tx.6914,http://orcid.org/0000-0002-7436-3176,,,,,
CrossRef,Department of Geoscience; University of Oslo; Oslo Norway,Department of Geoscience; University of Oslo;,NO,10.1029/2004wr003115,,,,,,
CrossRef,Ministério das Relações Exteriores,MinistA?©rio das RelaA?§A??es Exteriores,,10.1590/s0034-73292005000100009,,,,,,
CrossRef,Department of Orthodontics; The Affiliated Hospital of Medical College; Qingdao University; Qingdao; Shandong Province; China,Department of Orthodontics; The Affiliated Hospital of Medical College; Qingdao University;,CN,10.1111/ocr.12010,,,,,,
CrossRef,"International Livestock Research Institute, Kenya",International Livestock Research Institute,KE,10.4018/978-1-4666-8611-3.ch006,,,,,,
CrossRef,Department of Electrometallurgy of Steel and Ferroalloys; Moscow Steel and Alloys Institute; Russia,Department of Electrometallurgy of Steel and Ferroalloys; Moscow Steel and Alloys Institute;,RU,10.1002/srin.199401188,,,,,,
CrossRef,"Universitätsklinikum Aachen, Klinik für Diagnostische und Interventionelle Radiologie, Aachen","UniversitA?¤tsklinikum Aachen, Klinik fA?1?4r Diagnostische und Interventionelle Radiologie",,10.1055/s-0037-1600377,,,,,,
