Source,Affiliation,Institution,Country,DOI,ORCID,gleif,grid,psi,wikidata,isni
CrossRef,"Key Laboratory of Environmental Medicine Engineering in Ministry of Education, Medical School, Southeast University, Nanjing, China",,,10.1080/17435390.2017.1329954,,,,,,
CrossRef,"Universidade Federal de São Paulo,  Brasil",,,10.1590/s1516-80342007000300009,,,,,,
CrossRef,"Department of Radiology, Our Lady of Mercy Hospital, The Catholic University of Korea.",,,10.3348/jkrs.2000.42.1.175,,,,,,
CrossRef,"Kaiser Permanente, Los Angeles, CA",,,10.1200/jco.2012.30.34_suppl.212,,,,,,
CrossRef,"Space Research Institute (SRI) of Iranian Space Agency (ISA), Iran, Islamic Republic of",,,10.5220/0005414500940098,,,,,,
CrossRef,"Futai Special Laboratory, Microbial Chemistry Research Center, Microbial Chemistry Research Foundation, and Core Research for Evolutional Science and Technology, Japan Science and Technology Agency",,,10.2183/pjab.82.416,,,,,,
CrossRef,Vodafone-Omnitel Italia,,,10.4468/2002.1.06dainesi.zucchella,,,,,,
CrossRef,"Truman State University, 100 East Normal Street, Kirksville, MO 63501, USA",,,10.1155/2016/8062073,,,,,,
CrossRef,Kiel,,,10.1111/ddg.13045,,,,,,
CrossRef,Liver Unit; Hebrew University-Hadassah Medical Center; Jerusalem; Israel,,,10.1111/1751-2980.12062,,,,,,
CrossRef,"The Macaulay Land Use Research Institute, Craigiebuckler, Aberdeen, AB9 2QJ, UK",,,10.1155/s1463924688000240,,,,,,
CrossRef,"The University of Utah, USA",,,10.4018/978-1-4666-3604-0.ch010,,,,,,
CrossRef,"LaBS, Department of Structural Engineering, Politecnico di Milano, 20133 Milano, Italy",,,10.1155/2012/797410,,,,,,
CrossRef,"Harvard University, USA",,,10.4018/978-1-4666-2809-0.ch007,,,,,,
CrossRef,"Departmento de Biologia & CESAM; University of Aveiro, Campus Universitário de Santiago; Aveiro Portugal",,,10.1002/9781119169147.ch27,,,,,,
CrossRef,"Department of Orthopaedic Surgery, Guri Hospital, Hanyang University College of Medicine, Korea.",,,10.4184/jkss.2015.22.2.43,,,,,,
CrossRef,Instituto Rio-Grandense do Arroz,,,10.1590/s1415-43662010000800004,,,,,,
CrossRef,"MARUM, Center for Marine Environmental Sciences, University of Bremen; D-28359, Bremen Germany",,,10.1002/2016gc006286,,,,,,
CrossRef,Department of City and Regional Planning; Middle East Technical University; Ankara Turkey,,,10.1111/anti.12042,,,,,,
CrossRef,"Professor, National Graduate Institute for Policy Studies President, Institute for Transport Policy Studies",,,10.5736/jares.22.1_38,,,,,,
CrossRef,Resident in Graduate Prosthodontics; New York Hospital; Queens; NY,,,10.1111/jopr.12019,,,,,,
CrossRef,"University Distinguished Service Professor, James Buchanan Brady Urological Institute, Johns Hopkins Medical Institutions",,,10.5980/jpnjurol.102.64,,,,,,
CrossRef,Department of Mechanical Engineering; University of Massachusetts; Dartmouth Massachusetts USA,,,10.1002/2014jc010211,,,,,,
CrossRef,"Department of Physics and Engineering Physics; University of Saskatchewan; Saskatoon, Saskatchewan Canada",,,10.1029/2008ja013426,,,,,,
CrossRef,University of Stuttgart,,,10.1145/2857491.2857498,,,,,,
CrossRef,Université Nice-Sophia Antipolis; UMR Geoazur; Nice; France,,,10.1029/2011tc002875,,,,,,
CrossRef,"Instituto de Pesquisas Hidráulicas, Universidade Federal do Rio Grande do Sul, 90570-901 Porto Alegre, RS, Brazil",,,10.1155/2012/384153,,,,,,
CrossRef,"Central Laboratories, Okayama University Medical School",,,10.4044/joma1947.87.9-10_867,,,,,,
CrossRef,School of Medical Sciences; University of New South Wales; Sydney New South Wales Australia,,,10.1111/imj.12627,,,,,,
CrossRef,"Department of Aeronautical Engineering, Noorul Islam Centre for Higher Education, Noorul Islam University, Kanyakumari 629180, India",,,10.5402/2012/630801,http://orcid.org/0000-0001-5797-2925,,,,,
CrossRef,Matis Ltd; Icelandic Food and Biotech R&D; Vinlandsleid 12 113 Reykjavík Iceland,,,10.1002/jsfa.7328,,,,,,
CrossRef,"Department of Virology, Institute for Tropical Medicine, Nagasaki University",,,10.7601/mez.28.105,,,,,,
CrossRef,"Department of Dermato-Urology, Okayama University Medical School",,,10.5980/jpnjurol1928.46.3_190,,,,,,
CrossRef,"The Children’s Hospital of Zhejiang University School of Medicine, Hangzhou, Zhejiang 310052, China",,,10.1155/2016/3735452,,,,,,
CrossRef,"University of California at San Francisco, CASan Francisco General Hospital, San Francisco, CA",,,10.1115/sbc2009-206774,,,,,,
CrossRef,Boston College; USA,,,10.1023/a:1014637112531,,,,,,
CrossRef,"Columbia University, New York, NY",,,10.1200/jco.2005.09.908,,,,,,
CrossRef,Department of Surgery; The University of Auckland; Auckland; New Zealand,,,10.1002/alr.21117,,,,,,
CrossRef,"Physical Chemistry Laboratory of Mineral Materials and their Applications,  Tunisia",,,10.1590/s0366-69132012000100020,,,,,,
CrossRef,Department of Anthropology; Binghamton University; Binghamton NY USA,,,10.1002/oa.2526,http://orcid.org/0000-0002-2403-7209,,,,,
CrossRef,State Key Laboratory of Cognitive Neuroscience and Learning; Beijing Normal University; Beijing China,,,10.1111/jgs.12552,,,,,,
CrossRef,"Zanjan Pharmaceutical Nanotechnology Research Center, Zanjan University of Medical Sciences Zanjan Iran",,,10.1080/2331205x.2015.1129790,,,,,,
CrossRef,"Federal University of Goiás,  Brazil",,,10.1590/1809-43412016v13n1p132,,,,,,
CrossRef,School of Food and Biological Engineering; Jiangsu University; Zhenjiang China,,,10.1002/arch.21388,,,,,,
CrossRef,"Fundação Oswaldo Cruz,  Brasil",,,10.1590/s0104-59702010000400006,,,,,,
CrossRef,College of Economics and Finance; Hanyang University,,,10.1111/ajfs.12097,,,,,,
CrossRef,Department of Otorhinolaryngology-Head and Neck Surgery; University of Texas Medical School at Houston; Houston TX,,,10.1002/alr.21702,,,,,,
CrossRef,State Key Laboratory of Polymer Materials Engineering; Polymer Research Institute of Sichuan University; Chengdu 610065 China,,,10.1002/adv.21760,http://orcid.org/0000-0001-8295-2045,,,,,
