"Source","Affiliation","Institution","Country","DOI","ORCID","gleif","grid","psi","wikidata","isni"
"ORCID","xi'dian university","xi'dian university","CN",,"http://orcid.org/0000-0001-7630-9299","N/A","grid.440736.2",545022,"http://www.wikidata.org/entity/Q649906","000000010707115X"
"ORCID","Universidad de Castilla-La Mancha","Universidad de Castilla-La Mancha","ES",,"http://orcid.org/0000-0001-9645-6325","N/A","grid.8048.4",606563,"http://www.wikidata.org/entity/Q941806","0000000121942329"
"ORCID","Sage Publications Inc","Sage Publications Inc","US",,"http://orcid.org/0000-0003-1580-7037","N/A","N/A",445921,"http://www.wikidata.org/entity/Q251266","0000000405025717"
"ORCID","University College Cork","University College Cork","IE",,"http://orcid.org/0000-0001-5880-4704","N/A","grid.7872.a",505445,"http://www.wikidata.org/entity/Q1574185","0000000123318773"
"ORCID","Fondazione ISI - Istituto per l'lnterscambio Scientifico","Fondazione ISI - Istituto per l'lnterscambio Scientifico","IT",,"http://orcid.org/0000-0002-0821-7541","N/A","grid.418750.f",493881,"http://www.wikidata.org/entity/Q1650851","0000000417593658"
"ORCID","Mongolian Academy of Sciences, Institute of Geoecology","Mongolian Academy of Sciences, Institute of Geoecology","MN",,"http://orcid.org/0000-0003-1658-1148","N/A","grid.425564.4",647703,"N/A","0000000405873863"
"ORCID","Swedish University of Agricultural Sciences","Swedish University of Agricultural Sciences","SE",,"http://orcid.org/0000-0003-2735-7088","N/A","grid.6341.0",491500,"http://www.wikidata.org/entity/Q1312762","0000000085782742"
"ORCID","Karolinska Institutet","Karolinska Institutet","SE",,"http://orcid.org/0000-0001-7391-1137","213800EENON7ZYGD2932","grid.4714.6",491775,"http://www.wikidata.org/entity/Q219564","0000000419370626"
"ORCID","Universidad Politécnica de Valencia","Universidad Politécnica de Valencia","ES",,"http://orcid.org/0000-0002-3934-4615","N/A","grid.157927.f",607011,"http://www.wikidata.org/entity/Q2003976","0000000417705832"
"ORCID","Uppsala Universitet Medicinska fakulteten","Uppsala Universitet Medicinska fakulteten","SE",,"http://orcid.org/0000-0002-1933-9405","N/A","grid.8993.b",491242,"http://www.wikidata.org/entity/Q185246","0000000419369457"
"ORCID","Miami University","Miami University","US",,"http://orcid.org/0000-0003-4783-5358","5493008ZSVWUNRYQE312","grid.259956.4",435733,"http://www.wikidata.org/entity/Q590643","0000000419368606"
"ORCID","Universidad de Burgos","Universidad de Burgos","ES",,"http://orcid.org/0000-0001-5857-9404","N/A","grid.23520.36",606559,"http://www.wikidata.org/entity/Q1510657","0000000085691592"
"ORCID","Case Western Reserve University","Case Western Reserve University","US",,"http://orcid.org/0000-0001-5588-4614","2YXI7YIWYFWZG3QHF204","grid.67105.35",435451,"http://www.wikidata.org/entity/Q1047060","0000000419367865"
"ORCID","Universidad Autonoma de San Luis Potosi","Universidad Autonoma de San Luis Potosi","MX",,"http://orcid.org/0000-0003-4213-4552","N/A","grid.412862.b",512570,"http://www.wikidata.org/entity/Q7894242","000000012191239X"
"ORCID","Pontificia Universidad Javeriana","Pontificia Universidad Javeriana","CO",,"http://orcid.org/0000-0002-5981-5541","54930015KPR2VB6UOH58","grid.41312.35",506873,"http://www.wikidata.org/entity/Q1517478","0000000110336040"
"ORCID","De La Salle University Damariñas ","De La Salle University Damariñas","PH",,"http://orcid.org/0000-0002-1483-1230","N/A","grid.464511.3",474814,"http://www.wikidata.org/entity/Q5244550","0000000417566465"
"ORCID","GlucoSentient, Inc.","GlucoSentient, Inc.","US",,"http://orcid.org/0000-0001-8561-2097","N/A","N/A","N/A","N/A","N/A"
"ORCID","Makerere University","Makerere University","UG",,"http://orcid.org/0000-0003-3147-6266","N/A","grid.11194.3c",650769,"http://www.wikidata.org/entity/Q261506","0000000406200548"
"ORCID","Institute of Physics of Materials, Academy of Sciences of the Czech Republic","Institute of Physics of Materials, Academy of Sciences of the Czech Republic","CZ",,"http://orcid.org/0000-0002-1570-2705","N/A","grid.418095.1",507120,"http://www.wikidata.org/entity/Q374686","0000000110153316"
"ORCID","University of Potsdam","University of Potsdam","DE",,"http://orcid.org/0000-0002-6289-6987","N/A","grid.11348.3f",470794,"http://www.wikidata.org/entity/Q153012","0000000109421117"
